JXFP,XXFP,JXJE,XXJE,FFP,FPZS,ZFFP,JXJS,XXJS,RM,LT,WD,YL,ML,grade
3.11E-05,0,4.43E-08,1.66E-05,0,0,0.00109589,4.06E-08,1.48E-05,0,0,0.482640906,0.994507247,0.999534184,3
0.000279929,0.001703578,3.93E-07,5.33E-05,0,0.001147648,0.002191781,3.67E-07,4.75E-05,0.001147894,1.52E-05,0.87609203,0.988696506,0.999051651,3
9.33E-05,0.001578925,1.08E-06,0.000163879,0,0.000936856,0.009863014,9.92E-07,0.000142058,0.0009371,6.10E-05,0.209144392,0.989427487,0.999124205,3
0.00087089,0.005733993,2.54E-05,6.67E-05,0.000220897,0.003864531,0.005479452,2.45E-05,5.95E-05,0.003864778,3.55E-05,0.89051432,0.625093667,0.95410243,3
0.009766415,0.00062326,3.68E-05,0,0.000220897,0.007682218,0.002191781,3.62E-05,0,0.007682464,1.49E-05,0.997074826,0.050937757,0.424587857,3
0.055830301,0.011592637,0.017459662,0.05843044,0.003092556,0.048552558,0.033424658,0.01613628,0.054919384,0.048552793,0.034271283,0.95077862,0.676461002,0.959395306,1
0.001088613,0.000955665,4.69E-06,3.72E-05,0,0.00133502,0.011506849,4.34E-06,3.32E-05,0.001335267,1.12E-05,0.322750637,0.85477197,0.985981847,3
0.001524058,0.007479121,0.000179949,1.65E-05,0.000220897,0.005340079,0.01260274,0.000181473,1.68E-05,0.005340327,0.000105949,0.807128296,0.003277646,0.028956904,3
0.001461852,0.004653675,8.60E-06,1.17E-05,0.001988072,0.003700581,0.009315068,7.90E-06,1.05E-05,0.003700825,2.98E-06,0.686939507,0.580493542,0.942279116,3
6.22E-05,0.00245149,8.86E-08,4.83E-05,0,0.001405284,0.017534247,8.12E-08,4.79E-05,0.001405529,1.30E-05,0,0.996704698,0.99969334,3
0.418805014,0.332363818,0.016392155,0.057735533,0.02518224,0.502693461,0.773150685,0.015976902,0.05739287,0.502693584,0.033356717,0.87423095,0.688610068,0.961419666,0
0.220055364,0.138363735,0.020631271,0.055164912,0.038215154,0.243676223,0.432328767,0.020074996,0.055209957,0.243676409,0.03480049,0.827479769,0.625952654,0.949176961,2
0.002830394,0.099970915,0.000710626,0.054361075,0,0.058459809,0.083287671,0.000696921,0.048792074,0.058460041,0.02272709,0.896817736,0.978198433,0.998233341,0
0.008988834,0.017991441,4.65E-05,0.056223953,0.000220897,0.016886828,0.02739726,4.25E-05,0.049593367,0.016887069,0.023100293,0.876565925,0.998781105,0.999897693,0
0.235358154,0.02783895,0.023911507,0.044679595,0.022973271,0.192898632,0.295890411,0.022668738,0.04200898,0.192898832,0.032430041,0.8587152,0.523925828,0.927271363,0
0.179279027,0.015581502,0.023081897,0.049754266,0.007289596,0.14376054,0.189589041,0.021533905,0.045311003,0.143760749,0.034024108,0.894710174,0.55768444,0.936955359,0
0.047370222,0.128516226,0.032043386,0.047954063,0.015241882,0.108089751,0.174246575,0.032113057,0.048096113,0.108089974,0.038568023,0.846474686,0.466223935,0.909188996,0
1,0.438193377,0.027589394,0.157802169,0.11398277,1,0.966027397,0.024915686,0.144760066,1,0.081034602,0.912867625,0.783937791,0.976244103,0
0.035115549,0.032035567,0.03265652,0.049316593,0.000662691,0.044477234,0.070684932,0.032525468,0.049429663,0.044477471,0.039488788,0.878185419,0.470198275,0.910007969,1
0.071879568,0.06066398,0.021789707,0.029241981,0.015020985,0.08829867,0.111780822,0.020203122,0.027728371,0.088298898,0.02484213,0.872109208,0.442449967,0.89874302,1
0.025006998,0.03220177,0.012160492,0.030868865,0.007510493,0.036958966,0.156712329,0.011964871,0.029336333,0.036959201,0.019833438,0.588176761,0.597275073,0.946472221,0
0.153960997,0.148086592,0.029414363,0.044869373,0.024740446,0.199386359,0.152328767,0.029435539,0.044931488,0.199386561,0.035751933,0.929492034,0.47140364,0.910910067,1
0.063637212,0.073793992,0.012920584,0.03677557,0.009719461,0.089493161,0.102465753,0.012796966,0.034935662,0.089493383,0.022706203,0.897635615,0.624159207,0.95226016,0
0.043824453,0.040387252,0.001552343,0.010132253,0.006406008,0.055742927,0.100273973,0.001494993,0.010113762,0.055743157,0.00506752,0.835391854,0.809222131,0.979200169,2
0.024571553,0.020692234,0.006469782,0.009737898,0.000662691,0.030143339,0.047671233,0.00643802,0.009756988,0.030143583,0.007804518,0.877574097,0.469617503,0.909771714,0
0.079748686,0.060747081,0.007884291,0.011054194,0.010161255,0.094271126,0.09260274,0.007537562,0.01056656,0.094271348,0.009178722,0.912992723,0.448345439,0.903126973,0
0.005225343,0.023393028,0.000230612,0.012892046,0,0.01709762,0.031232877,0.000222563,0.012242067,0.017097863,0.005421231,0.860644219,0.972378802,0.997579706,1
0.001524058,0.019487265,2.69E-05,0.010985595,0,0.012108863,0.004383562,2.71E-05,0.009887344,0.012109103,0.004518561,0.996293407,0.995846589,0.999676776,2
0.141830736,1,0.009253908,0.141766634,1,0.670460933,0.317260274,0.00834515,0.142266013,0.670461013,0.063643113,0.639475885,0.915372121,0.991137063,2
0.023420733,0.032991233,0.003709004,0.018449744,0.000441794,0.036209481,0.036712329,0.003675166,0.01745191,0.036209716,0.009753191,0.932484594,0.74691217,0.972694068,1
0.012783428,0.108114846,0.000746979,0.011834769,0.001546278,0.07054525,0.063013699,0.000740827,0.011759043,0.070545482,0.005291627,0.941245656,0.909665585,0.991435762,0
0.087866629,0.022686666,0.000404968,0.011382602,0.001767175,0.078930111,0.054246575,0.000378311,0.010146312,0.07893034,0.004904394,0.960328718,0.944714737,0.995176903,1
0.040185375,0.044334566,0.013966468,0.019692493,0.006185112,0.055227656,0.175890411,0.012281333,0.018214961,0.055227887,0.016310219,0.706894176,0.463630817,0.903638875,1
0.071786259,0.02912702,0.009983488,0.02295007,0.010382152,0.070451565,0.191232877,0.009249281,0.021029273,0.070451791,0.015299432,0.742353775,0.577943368,0.940896538,1
0.020776959,0.031744713,0.005657644,0.008776944,0.003092556,0.03351602,0.037808219,0.005468854,0.008376245,0.033516261,0.006931286,0.903434013,0.472531892,0.91246798,1
0.050853784,0.064029584,0.003470545,0.009157869,0.009277667,0.074362938,0.105205479,0.00344012,0.009040542,0.074363169,0.005798338,0.868783958,0.614877312,0.948540883,3
0.019190694,0.0526447,0.007591783,0.011694827,0.003534349,0.044102492,0.063013699,0.007566327,0.01166527,0.044102733,0.009269264,0.878061037,0.474252858,0.911827813,1
0.030792199,0.025844517,0.002484983,0.013096365,0.001767175,0.037731872,0.059726027,0.002316014,0.011762219,0.037732106,0.006834077,0.871516123,0.759779928,0.974232527,1
0.008740008,0.010720073,5.88E-05,0.007764425,0.001325381,0.012600712,0.016986301,5.42E-05,0.007587437,0.012600953,0.003215086,0.881364761,0.989041281,0.998980782,2
0.0173245,0.092450243,0.055024286,0.484267833,0.002871659,0.065134907,0.124383562,0.055189914,0.488790072,0.065135135,0.231220744,0.841353794,0.847920706,0.984564314,2
0.09788187,0.036439939,0.000774127,0.008472219,0.01678816,0.094224283,0.089315068,0.000703171,0.007503445,0.094224507,0.003927313,0.899907975,0.87083901,0.987600967,2
0.063201767,0.027298791,0.000932911,0.008597942,0.006847802,0.062956717,0.06739726,0.0008542,0.007618005,0.062956951,0.004072528,0.90465333,0.848953365,0.985274242,2
0.001430749,0.013337765,1.70E-06,0.007054239,0.001325381,0.008572232,0.018082192,1.67E-06,0.006104656,0.008572481,0.002889885,0.801476414,0.999685753,0.999976598,0
0.002394949,0.00993061,0.000709199,0.005066222,0.003313453,0.00737774,0.022465753,0.000710354,0.004706783,0.007377988,0.002490888,0.650295116,0.806063304,0.981011799,1
0.03878573,0.10092658,0.005083715,0.008369615,0.013032914,0.086073637,0.12,0.005061803,0.008323649,0.086073864,0.006425743,0.864481545,0.49185512,0.917524156,2
0.018630836,0.013254664,0.004033677,0.006304678,0.001546278,0.021477422,0.015342466,0.003941088,0.006216796,0.021477661,0.004959086,0.946845799,0.48064059,0.913154945,1
0.079095518,0.04022105,0.008703544,0.01536437,0.012149326,0.082209106,0.075068493,0.007999713,0.014104956,0.082209336,0.01143099,0.910222153,0.510629574,0.923045778,2
0.090323785,0.145925957,0.00735738,0.012700466,0.007068699,0.150248267,0.140273973,0.007376439,0.012756106,0.150248478,0.00954389,0.931527759,0.505405362,0.921312685,2
0.038381388,0.02106619,0.00218539,0.012749898,0.002429865,0.040753232,0.044383562,0.002157149,0.012647418,0.040753467,0.00651524,0.914477507,0.785601871,0.976724646,0
0.112407079,0.02106619,0.00457047,0.009934488,0.007068699,0.096496159,0.081643836,0.004152341,0.009138289,0.096496382,0.006765553,0.933698142,0.569608994,0.937522929,2
0.067431806,0.043794407,0.033859755,0.050750607,0.006185112,0.075440322,0.076712329,0.033666074,0.050586024,0.075440551,0.040786764,0.915797044,0.467106475,0.909328188,1
0.006096233,0.011592637,0.00045164,0.005118293,0.00419704,0.011101743,0.022465753,0.000435382,0.004659798,0.011101983,0.002360432,0.75727226,0.871246481,0.988033893,2
0.014058661,0.036938547,0.003446829,0.007060782,0.001546278,0.031384673,0.034520548,0.003300888,0.006711721,0.031384909,0.004923511,0.916015205,0.548905308,0.933729093,1
0.01318777,0.0154984,0.002849297,0.005289976,0.001546278,0.018643433,0.059726027,0.002788278,0.005196,0.018643674,0.003844347,0.713956365,0.525766435,0.926908228,3
0.019563933,0.018614701,0.005824028,0.009679282,0.001104484,0.025201424,0.048767123,0.005398152,0.008879473,0.025201665,0.007399777,0.839902035,0.491922881,0.918286956,2
0.05110261,0.145219595,0.001476482,0.008951953,0.01259112,0.12031572,0.205479452,0.00137897,0.008634312,0.120315939,0.004538289,0.845920823,0.796750942,0.977609936,0
0.025566856,0.024265592,0.001936046,0.00625641,0.022973271,0.032907064,0.119452055,0.001792857,0.005912099,0.0329073,0.003702695,0.531030239,0.669486243,0.958000594,2
0.037323878,0.020318278,0.004638802,0.006760726,0.003313453,0.039535319,0.047123288,0.004608134,0.006716696,0.039535561,0.005503019,0.899336066,0.459087076,0.906854335,2
0.004012317,0.01794989,0.004868783,0.008757398,0.001988072,0.013115983,0.032876712,0.004808337,0.008706572,0.013116224,0.006458219,0.763841548,0.517888991,0.924506159,1
0.042020466,0.015872356,0.001280997,0.007459262,0.003534349,0.040565861,0.078356164,0.001176427,0.006892292,0.040566102,0.003810305,0.829698552,0.785559226,0.976691064,1
0.017044571,0.089043088,0.003239335,0.006786518,0.000662691,0.06300356,0.054246575,0.003245149,0.006798202,0.063003792,0.004688605,0.946915937,0.556772928,0.935204904,0
0.352524027,0.043462002,0.053783364,0.098700971,0.022752375,0.289933483,0.362739726,0.049492491,0.092224871,0.289933655,0.072215393,0.894508507,0.525377488,0.925940422,0
0.016702435,0.02106619,0.000807516,0.002839137,0.000220897,0.024428518,0.053150685,0.000797257,0.002530839,0.02442876,0.001634639,0.825617505,0.661053954,0.961461366,1
0.006562782,0.05509619,0.000140774,0.004155322,0.009277667,0.035975267,0.021917808,0.000136759,0.003979117,0.03597551,0.001781875,0.913433343,0.948893321,0.995413,1
0.01645361,0.008850293,0.000205862,0.002696959,0.005301524,0.017355256,0.016986301,0.000188506,0.002474269,0.017355498,0.001221592,0.868968424,0.892823409,0.989664814,1
0.048863177,0.027714298,0.006077056,0.012025357,0.006847802,0.052393667,0.052054795,0.005828114,0.012145671,0.0523939,0.008511994,0.906834607,0.55526851,0.931360838,1
0.0009642,0.056882869,1.45E-05,0.002244335,0,0.032766536,0.050410959,1.31E-05,0.001955041,0.032766776,0.000923004,0.886568238,0.989728063,0.999130534,0
0.018226494,0.019902771,0.000790494,0.001972199,0.001546278,0.024920367,0.020821918,0.000754253,0.001873508,0.024920609,0.001268728,0.937788089,0.601535607,0.945758749,1
0.017915461,0.027963602,0.000861176,0.001245227,0.001546278,0.029229904,0.029041096,0.000791603,0.001138755,0.029230146,0.001011975,0.925112972,0.457028966,0.906643445,1
0.020092688,0.00868409,0.000219101,0.001503272,0.001104484,0.020001874,0.023561644,0.000199651,0.001340173,0.02000212,0.000739393,0.907797899,0.808755536,0.980306896,1
6.22E-05,0.002783895,7.28E-08,0.001544741,0,0.001592655,0.004383562,6.67E-08,0.001357271,0.001592902,0.000627297,0.79932108,1,1,2
0,0.02414094,4.85E-07,0.000971149,0.008835874,0.013584411,0.035068493,4.31E-07,0.000865666,0.013584653,0.000392235,0.64264567,0.999278127,0.999936843,2
0.407296818,0.338347114,0.010513413,0.126605201,0.521316545,0.497400225,0.312876712,0.009670141,0.127359884,0.497400348,0.05816189,0.727777203,0.892875784,0.988722247,0
0.056856707,0.023766984,0.000955727,0.002645741,0.004417937,0.056187933,0.082739726,0.000943802,0.002632379,0.056188166,0.001642621,0.874194286,0.630076472,0.951062537,1
0.039127865,0.015332198,0.001980106,0.003063204,0.003313453,0.038083193,0.038356164,0.001731101,0.002650858,0.038083433,0.002417869,0.915816535,0.47301568,0.912382355,1
0.003607975,0.010055262,0.000237391,0.001057297,0.000441794,0.008361439,0.04109589,0.00022463,0.00093219,0.008361687,0.000567106,0.568061735,0.721367162,0.969731416,2
0.018817455,0.009556654,0.000132385,0.001568474,0.001988072,0.019533446,0.010410959,0.000126293,0.001576965,0.019533691,0.000715037,0.956874766,0.888064385,0.988595745,2
0.000559858,0.022811318,5.65E-05,0.001029694,0.003092556,0.013256511,0.023561644,4.89E-05,0.000890893,0.013256756,0.000449019,0.812361442,0.920998735,0.992611771,1
0.017137881,0.345327627,0.000434485,0.001697643,0.003092556,0.207537006,0.331506849,0.000400192,0.001513253,0.207537205,0.000946153,0.876927346,0.700959989,0.965392081,2
0.010855028,0.00993061,0.000146568,0.001024613,0.000662691,0.013748361,0.014246575,0.000135975,0.000945215,0.013748606,0.000500143,0.922993276,0.814565172,0.980722241,1
0.001648471,0.010470769,0.000125891,0.00107464,0.001325381,0.007120105,0.003835616,0.000117442,0.000976667,0.007120353,0.00050849,0.938468428,0.840519195,0.984207518,2
0.001586265,0.010886276,0.000539783,0.002424169,0,0.007307476,0.010958904,0.000543864,0.002275187,0.007307726,0.001306461,0.892885677,0.722042022,0.969846311,2
0.004758794,0.003324054,0.000490628,0.000865271,0,0.005433764,0.007671233,0.000482275,0.000795475,0.005434009,0.000637565,0.902002228,0.49504229,0.923689222,1
0.700880221,0.391365771,0.028927125,0.097634353,0.07201237,0.748360502,1,0.026269444,0.089674754,0.748360563,0.057124537,0.882377111,0.677128168,0.959736938,0
0.012254673,0.001745128,0.000413333,0.00088405,0,0.010188308,0.003287671,0.000377611,0.000800249,0.010188554,0.000599704,1,0.562019536,0.937064593,2
0.006531679,0.026717081,0.000343706,0.000854427,0.001325381,0.019955031,0.025205479,0.000342095,0.000856509,0.01995527,0.000546498,0.897337946,0.604756773,0.945870246,0
0.009766415,0.014002576,0.00025933,0.000716057,0.001104484,0.015223909,0.006575342,0.00025777,0.000719784,0.015224155,0.000440028,0.973105779,0.632230464,0.951360153,3
0.089857236,0.02908547,0.006414471,0.000863285,0.012812017,0.084035975,0.135890411,0.00597529,0.000769517,0.084036203,0.004128915,0.843449434,0,0,1
0.001648471,0.02044293,0.000241134,0.001339918,0.001325381,0.01274124,0.029589041,0.00024121,0.001340837,0.012741485,0.000685325,0.791810879,0.777160838,0.975699392,0
0.007091537,0.011925043,6.91E-05,0.000720946,0.000220897,0.012038598,0.025753425,6.32E-05,0.000642678,0.012038842,0.000329773,0.828441096,0.866439205,0.987136699,1
0.004261143,0.000664811,0.000293837,0.001003334,0.001546278,0.003560052,0.002191781,0.000255706,0.000894355,0.003560301,0.000578226,0.879210851,0.684509703,0.960534831,2
0.011757022,0.002825446,0.000273009,0.000979241,0,0.010422522,0.006027397,0.000260852,0.000936857,0.010422769,0.000556061,0.976504367,0.69033502,0.962438088,2
0.006624988,0.016370964,0.000108619,0.00066261,0.000883587,0.014193367,0.019726027,9.91E-05,0.00061707,0.014193614,0.000329299,0.887095034,0.797659408,0.978005951,0
0.001990607,0.006897411,0.000450608,0.000465807,0,0.0053635,0.004931507,0.000409588,0.000468016,0.005363748,0.000449965,0.946546384,0.397073968,0.87090457,0
0.13349507,0.245148959,0.004173506,0.079326126,0.032913629,0.238687465,0.131506849,0.00387397,0.079349594,0.238687649,0.035016558,0.946182503,0.928656275,0.992858787,0
0.004292246,0.010595421,0.000127443,0.001089194,0.001325381,0.009181188,0.042739726,0.000114265,0.000999372,0.009181434,0.00051538,0.57015979,0.847240446,0.984224822,2
0.005474169,0.005110733,0.000235535,0.000588905,0.000441794,0.006979577,0.008219178,0.000234292,0.0005887,0.006979821,0.00037378,0.908079927,0.606669044,0.946421714,0
0.006593885,0.001371172,2.49E-05,0.000578041,0.000441794,0.005714821,0.002191781,2.31E-05,0.000515256,0.005715065,0.00024507,0.977539359,0.934848795,0.994219693,2
0.006593885,0.005900195,5.32E-05,0.000361772,0.001325381,0.008267753,0.006575342,4.86E-05,0.000322477,0.008267996,0.000173144,0.920538371,0.809611589,0.980488312,1
9.33E-05,0.007894627,2.31E-06,0.000273912,0.001988072,0.004496908,0.009863014,2.33E-06,0.000244161,0.004497151,0.000106896,0.734257699,0.98557236,0.9988771,2
9.33E-05,0.037686459,1.36E-07,0.000582198,0,0.021290051,0.026849315,1.24E-07,0.000518962,0.021290296,0.000232294,0.912719392,0.999632362,0.999968831,1
0.000311032,0.000581709,0.000388787,0.000360076,0,0.000538692,0.00109589,0.0003533,0.000321355,0.00053895,0.000369995,0.888474443,0.338483757,0.856677955,2
0.000248826,0.010720073,3.10E-06,0.000227251,0.000883587,0.00620667,0.004931507,2.84E-06,0.000202567,0.006206915,8.84E-05,0.925444785,0.979055235,0.998198526,1
0.001555162,0.006107949,3.34E-05,0.000415798,0.001546278,0.004590594,0.011506849,3.04E-05,0.000370436,0.004590842,0.000183554,0.729324036,0.887253918,0.98929744,1
0.027339741,8.31E-05,0.001070527,0.000349617,0.002429865,0.02061083,0.006575342,0.001015821,0.00031546,0.020611073,0.000767747,0.972963485,0.107217988,0.593854085,3
