ID,JXFP,XXFP,JXJE,XXJE,FFP,FPZS,ZFFP,JXJS,XXJS,RM,LT,WD,YL,ML,grade,julei
E120,36,29,28257.07,190673.21,0,65,21,30196.34,196393.42,0.000176546,4.57E-06,0.676923077,0.733471274,0.85180367,3,3
E121,50,186,1073486.18,104646.32,1,236,23,1251119.88,117792.76,0.000640998,2.46E-05,0.898305085,-0.827903174,-9.258231536,3,2
E122,48,118,51579.66,84574.42,9,166,17,54708.26,87489.06,0.000450871,2.84E-06,0.843373494,0.230530364,0.390126944,3,0
E123,3,65,792.45,236709.26,0,68,32,840,267168.2,0.000184694,4.96E-06,0.529411765,0.993731535,0.996652222,3,3
E13,13466,8005,97763521.55,239809372.2,114,21471,1411,110124168,275452694.6,0.058317218,0.0070514,0.928973965,0.428782281,0.592328187,0,0
E14,7076,3336,123045721.4,229133690,173,10412,789,138371076.4,264977386.7,0.028279953,0.007356509,0.907606608,0.313888168,0.462995942,2,0
E15,92,2412,4238459,225795391.3,0,2504,152,4803944.44,234179413,0.006801095,0.004805068,0.939297125,0.959796829,0.981228762,0,1
E16,290,439,277666.29,233531842.4,1,729,50,293248.42,238024635.4,0.001980031,0.004883936,0.930041152,0.997539015,0.998811013,0,1
E17,7568,676,142609138.7,185588617,104,8244,540,156248941.5,201628870.9,0.022391465,0.006855568,0.921882581,0.126802858,0.231584669,0,0
E18,5765,381,137661325.2,206663509.5,33,6146,346,148426890,217474538.5,0.016693103,0.007192438,0.938333876,0.1887056,0.333886638,0,0
E19,1524,3099,191107886,199187341.1,69,4623,318,221345740.3,230839653.5,0.012556495,0.008152692,0.916288125,0.020995621,0.040562091,0,0
E2,32152,10552,164544160.5,655381855.7,516,42704,1763,171736465.9,694708186.7,0.115988006,0.017127046,0.946632634,0.603583529,0.748933909,0,1
E20,1130,777,194764637.3,204845870.4,3,1907,129,224188361.3,237239059.6,0.005179588,0.008347275,0.930781332,0.028283318,0.049213748,1,0
E21,2312,1466,129954665.7,121476861.1,68,3778,204,139254206.3,133099447.8,0.010261397,0.005252034,0.928004235,-0.022598406,-0.069789461,1,0
E22,805,781,72525770.26,128233239.5,34,1586,286,82470472.7,140815694.6,0.004307722,0.00419356,0.798234552,0.261302447,0.434423005,0,0
E23,4951,3570,175428325.7,186376755,112,8521,278,202890429.9,215653328.4,0.023143823,0.007557575,0.954230724,0.030493582,0.058743534,1,0
E24,2047,1782,77058977.59,152763534.3,44,3829,187,88205844.08,167685615.3,0.010399917,0.004800654,0.939670932,0.310599546,0.495566937,0,0
E25,1410,978,9258477.48,42114974.18,29,2388,183,10304807.07,48570907.06,0.006486028,0.001073116,0.911222781,0.649947106,0.780161863,2,1
E26,791,504,38586220.69,40477233.64,3,1295,87,44375578.78,46858830.27,0.00351734,0.001651519,0.930501931,0.027218365,0.046717939,0,0
E27,2565,1468,47022389.63,45943755.65,46,4033,169,51954384.08,50743782.93,0.010954,0.001941926,0.946689809,-0.011787953,-0.023477271,0,0
E28,169,569,1375638.21,53576276.47,0,738,57,1534338.47,58784163.8,0.002004476,0.001147865,0.922764228,0.949125445,0.974323744,1,1
E29,50,475,160844.9,45658867.56,0,525,8,186918.44,47484378.78,0.001425948,0.000957106,0.984761905,0.99215803,0.996477247,2,1
E3,4561,24073,55190824.29,588786961.6,4527,28634,579,57520838.33,682739788,0.077772587,0.013451747,0.82168052,0.844593009,0.906263508,2,1
E30,754,800,22120861.61,76657161.37,2,1554,67,25332074.36,83785026.3,0.004220807,0.002063327,0.955598456,0.535690113,0.711431245,1,1
E31,412,2608,4455268.98,49185449.3,7,3020,115,5106571.58,56466238.15,0.008202599,0.001120476,0.959602649,0.834129006,0.909418963,0,1
E32,2826,552,2415504.8,47307620.39,8,3378,99,2607862.72,48727105.48,0.00917496,0.001038643,0.968324452,0.898398195,0.948940471,1,1
E33,1293,1073,83296658.79,81818242.32,28,2366,321,84651745.75,87446737.75,0.006426274,0.003449007,0.85249366,0.016240654,-0.018069521,1,0
E34,2309,707,59542055.22,95346823.38,47,3016,349,63752740.57,100951985.3,0.008191734,0.0032354,0.868700265,0.225854143,0.375521353,1,0
E35,669,770,33742604.11,36486433.5,14,1439,69,37695415.81,40232953.81,0.003908457,0.001466981,0.942321056,0.032562442,0.075201359,1,0
E36,1636,1547,20698686.23,38068397.49,42,3183,192,23711973.58,43420766.65,0.008645322,0.001227558,0.926484449,0.293579452,0.456276397,3,0
E37,618,1273,45277866.44,48604276.14,16,1891,115,52152650.68,56016244.25,0.005136131,0.00196106,0.930724484,0.035718157,0.068438622,1,0
E38,991,628,14820769.27,54424805.63,8,1619,109,15963852.31,56481480.99,0.004397353,0.001446438,0.927733169,0.559285558,0.727683561,1,1
E39,282,264,351069.36,32281482.8,6,546,31,374123.46,36447643.68,0.001482986,0.000681646,0.932234432,0.979679223,0.989124745,2,1
E4,558,2231,328166597,2011179878,13,2789,227,380407448.3,2345630676,0.007575181,0.048865501,0.913947651,0.720908196,0.836828818,2,1
E40,3148,883,4617177.51,35220921.65,76,4031,163,4847020.63,36044581.87,0.010948568,0.000832159,0.940709501,0.762933202,0.868908101,2,1
E41,2033,663,5564172.58,35743044.2,31,2696,123,5888015.49,36594329.95,0.007322585,0.000862847,0.942878338,0.72280177,0.84432852,2,1
E42,47,327,10425.63,29332112.4,6,374,33,11769,29332112.4,0.001015819,0.000612922,0.895721925,0.999197857,0.999644566,0,1
E43,78,245,4229946.65,21075963.78,15,323,41,4896529.75,22624031.58,0.000877298,0.000528603,0.826625387,0.644154805,0.799299966,1,1
E44,1248,2435,30319678.37,34794810.63,59,3683,219,34889736.62,39980557.58,0.010003368,0.001360146,0.924518056,0.067995204,0.128614934,2,0
E45,600,325,24057221.91,26219218.7,7,925,28,27164993.31,29870246.62,0.002512385,0.001050201,0.962162162,0.04743126,0.082458475,1,0
E46,2544,974,51908436.74,63843734.64,55,3518,137,55139852.76,67723749.82,0.009555213,0.002417892,0.945423536,0.102421684,0.186945484,2,0
E47,2905,3518,43879879.29,52780652.66,32,6423,256,50843810.67,61250922.33,0.017445461,0.002019096,0.95516114,0.092842111,0.168637046,2,0
E48,1235,513,13033991.7,52985940.51,11,1748,81,14868845.45,60729353.86,0.004747729,0.001379059,0.947368421,0.606634931,0.754010374,0,1
E49,3615,513,27258672.32,41293664.53,32,4128,149,28621095.95,43889831.01,0.011212029,0.001431957,0.956153101,0.210571506,0.339882458,2,0
E5,2169,1060,201940761.5,210801270.5,28,3229,140,232050213.7,242788172.6,0.008770262,0.008621573,0.947971508,0.022613923,0.042032522,1,0
E50,197,285,2693857.66,21292209.13,19,482,41,3001235.29,22398562.26,0.001309156,0.000501034,0.875518672,0.763680377,0.873481533,2,1
E51,453,895,20557244.87,29359283.96,7,1348,63,22752291.9,32245280.85,0.003661292,0.001042683,0.948071217,0.172607417,0.299804283,1,0
E52,425,379,16993550.78,22005202.61,7,804,109,19219022.54,24971677.53,0.002183738,0.000814626,0.855721393,0.130177956,0.227748497,3,0
E53,630,454,34734922.29,40233803.85,5,1084,89,37208090.95,42647832.98,0.002944244,0.001565986,0.913284133,0.068119455,0.136673171,2,0
E54,1644,3501,8806043.64,37213236.41,57,5145,375,9505099.81,41471357.92,0.013974295,0.000961275,0.916034985,0.627078843,0.763362596,0,1
E55,823,590,11546892.2,26018762.99,104,1413,218,12357893.48,28408072.28,0.003837838,0.000784691,0.772116065,0.393715162,0.556209025,2,3
E56,1201,495,27666204.86,28113166.93,15,1696,86,31762735.35,32269154.13,0.004606493,0.001165149,0.940448113,0.007908853,0.015898674,2,0
E57,130,438,29037818.42,36405259.34,9,568,60,33142670.55,41818121.84,0.00154274,0.001367009,0.878521127,0.115733185,0.202372983,1,0
E58,1352,388,7640162.89,31014154.56,16,1740,143,8109028.68,33111799.72,0.004726001,0.000807432,0.90862069,0.606556734,0.753655613,1,1
E59,549,2149,19319748.65,28220277,3,2698,99,22368095.18,32660282.19,0.007328017,0.000993041,0.962194218,0.187034172,0.31539479,0,0
E6,11335,1052,320765704.2,409937095.6,103,12387,662,341136855.6,442603619.8,0.033644235,0.015263305,0.938241705,0.129464749,0.217524572,0,0
E60,538,513,4816313.87,11826973.96,1,1051,97,5495527.57,12182169,0.002854613,0.000347654,0.906755471,0.378252981,0.592768709,1,0
E61,212,1332,839842.91,17293032.16,42,1544,40,942920.8,19132125.8,0.004193647,0.000378769,0.946891192,0.906060412,0.951434607,1,1
E62,530,219,1228031.42,11236512.66,24,749,31,1299590.98,11910703.36,0.002034353,0.000260366,0.926568758,0.803245719,0.890710627,1,1
E63,1572,673,36243987.98,49976954.58,31,2245,95,40171682.31,58321581.68,0.006097627,0.001801028,0.943875278,0.18427554,0.274785983,1,0
E64,32,1375,86955.16,9356783.72,0,1407,92,90634.05,9419044.26,0.003821542,0.000197266,0.934612651,0.980938567,0.990706725,0,1
E65,587,485,4714790.01,8226616.29,7,1072,38,5199115.09,9027786.87,0.002911651,0.000270327,0.958022388,0.269114934,0.426885873,1,0
E66,577,679,5136339.35,5207530.6,7,1256,53,5456558.31,5501870.56,0.003411412,0.000216068,0.952229299,0.004134922,0.013670827,1,0
E67,647,215,1306990.79,6279182.47,5,862,43,1376410.55,6468430,0.002341272,0.000158464,0.944315545,0.649091517,0.791853351,1,1
E68,3,73,698.11,6451400.16,0,76,8,740,6550478.19,0.000206423,0.000134775,0.894736842,0.999774088,0.999891789,2,1
E69,1,587,3155.34,4069297.91,40,588,64,3250,4191376.85,0.001597062,8.51E-05,0.823129252,0.998450399,0.999224598,2,3
E7,13096,8149,62702547.06,525822174.6,2360,21245,571,66653596.78,611208630.1,0.057703381,0.012293414,0.862038127,0.803341758,0.880753323,0,1
E70,1829,578,5700243.53,11023808.42,20,2407,151,6505617.19,12669437.87,0.006537634,0.000349341,0.928957208,0.32144996,0.482915222,1,0
E71,1259,375,11809671.44,12757514.12,15,1634,70,11932230.11,12758111.12,0.004438095,0.000513172,0.947980416,0.033449558,0.074296816,1,0
E72,117,248,1416070.05,4427068.84,2,365,75,1548582.77,4510610.75,0.000991374,0.000122055,0.789041096,0.488848552,0.680133718,2,3
E73,606,236,789814.3,6549961.37,9,842,19,870778.46,7604741.18,0.00228695,0.000153317,0.966745843,0.794519157,0.879416953,2,1
E74,19,555,337049.71,4312434.4,14,574,43,337315,4312434.4,0.001559037,9.71E-05,0.900696864,0.85491046,0.921842357,1,1
E75,552,8317,2591545.93,7086397.19,14,8869,605,2758680.25,7299000.9,0.024089023,0.000202158,0.930206337,0.451428175,0.634292877,2,0
E76,350,245,874397.18,4291331.69,3,595,26,937510.61,4573117.8,0.001616075,0.000107904,0.951260504,0.659744573,0.796241064,1,1
E77,54,258,751080.41,4499093.52,6,312,7,809775,4724047.99,0.000847421,0.000109668,0.958333333,0.707336139,0.833059614,2,1
E78,52,268,3219546.28,10103627.05,0,320,20,3748968.62,10955349.65,0.00086915,0.000278301,0.9375,0.490086034,0.681347474,2,1
E79,154,86,2926384.5,3629591.93,0,240,14,3324452.58,3854546.09,0.000651862,0.000136945,0.941666667,0.073839477,0.193742835,1,0
E8,22535,9425,172522421.7,405507473.4,326,31960,1825,181067507.2,430366180.8,0.08680631,0.012074193,0.932697121,0.407728064,0.574551807,0,0
E80,395,48,2465390.84,3707580.93,0,443,6,2603035.73,3877455.52,0.001203229,0.000128944,0.986455982,0.196654812,0.335040587,2,0
E81,211,649,2050136.67,3584554.35,6,860,46,2358236.53,4147436.89,0.002335839,0.0001177,0.939534884,0.275021546,0.428063723,0,0
E82,315,343,1546915.64,3009910.42,5,658,12,1777008.32,3491321.21,0.001787189,9.52E-05,0.974164134,0.325399708,0.486059243,3,0
E83,2890,706,38256342.83,3621342.41,58,3596,248,41186120.16,3729982.43,0.009767068,0.000874763,0.914905451,-0.833913353,-9.564132992,1,2
E84,54,498,1438394.46,5600778.8,6,552,54,1662863.65,6471615.79,0.001499283,0.000147038,0.891304348,0.591156715,0.743179563,0,1
E85,229,293,412098.47,3030215.17,1,522,47,436011.42,3121310.2,0.0014178,7.19E-05,0.908045977,0.754865336,0.864003562,1,1
E86,138,22,1752716.11,4202962.29,7,160,4,1762783.58,4329051.16,0.000434575,0.000124405,0.93125,0.421263493,0.582980767,2,0
E87,379,74,1628496.66,4102904.02,0,453,11,1798250.11,4533006.79,0.00123039,0.000119721,0.975717439,0.431945303,0.603086825,2,0
E88,214,400,648069.06,2787946.67,4,614,36,683458.46,2998419.93,0.001667681,7.18E-05,0.93485342,0.628744685,0.767546106,0,1
E89,65,172,2687702.12,1970635.93,0,237,9,2823442.69,2283146.16,0.000643714,9.73E-05,0.962025316,-0.105803805,-0.363875528,0,0
E9,4293,5906,24891167.3,329474184.8,149,10199,240,26702370.13,380818065.9,0.027701425,0.00740217,0.961859006,0.868951995,0.924451843,0,1
E90,139,261,760336.59,4559532.3,6,400,78,787876.57,4833004.16,0.001086437,0.000111124,0.79,0.719660812,0.833242416,2,3
E91,177,129,1405003.37,2481853.34,2,306,15,1615182.18,2862281.4,0.000831124,8.12E-05,0.944444444,0.278528054,0.433889446,0,0
E92,213,39,149058.96,2436737.82,2,252,4,159766.41,2509840,0.000684455,5.40E-05,0.976190476,0.880307142,0.938828478,2,1
E93,213,148,317301.53,1538579.61,6,361,12,335386.83,1584737,0.000980509,3.88E-05,0.950138504,0.650661249,0.793769833,1,1
E94,4,196,14049.87,1173702.6,9,200,18,16346,1208913.49,0.000543218,2.48E-05,0.865,0.973318305,0.988029446,2,1
E95,4,913,1073.58,2454001.88,0,917,49,1138,2527622.45,0.002490657,5.13E-05,0.946564885,0.999099954,0.999562519,1,1
E96,11,20,2319001.37,1531537.23,0,31,2,2435469.96,1579350,8.42E-05,8.04E-05,0.935483871,-0.213239938,-0.514165849,2,0
E97,9,264,18754.7,979919.26,4,273,9,19880,1009316.9,0.000741493,2.09E-05,0.952380952,0.961367936,0.980860974,1,1
E98,51,153,199513.35,1762947.59,7,204,21,209488.98,1814882,0.000554083,4.10E-05,0.862745098,0.793033014,0.886829676,1,1
E99,880,8,6384915.51,1488102,11,888,12,7002019.61,1551062.66,0.00241189,0.000164456,0.974099099,-0.637309075,-3.290643726,3,2
,,,,,,,,,,,,,,0.250443498,,
